t_s,u_stream_mean,u_stream_rms,u_lat_rms,u_vert_rms
6.49,12,0.734452,0.838261,0.702612
6.5,12,0.735392,0.867857,0.758654
6.51,12,0.715468,0.865053,0.760929
6.52,12,0.714066,0.891747,0.792854
6.53,12,0.690102,0.864936,0.783398
6.54,12,0.683794,0.867811,0.805244
6.55,12,0.653839,0.821231,0.775077
6.56,12,0.643883,0.80804,0.773645
6.57,12,0.621665,0.764049,0.751896
6.58,12,0.622607,0.764506,0.768954
6.59,12,0.610881,0.738312,0.737419
6.6,12,0.622609,0.75484,0.737969
6.61,12,0.618143,0.75769,0.687421
6.62,12,0.634061,0.802825,0.677819
6.63,12,0.630134,0.826388,0.642344
6.64,12,0.647424,0.882046,0.647119
6.65,12,0.643223,0.896892,0.604614
6.66,12,0.660243,0.938455,0.604932
6.67,12,0.6574,0.936238,0.561399
6.68,12,0.67525,0.957252,0.56551
6.69,12,0.671998,0.927083,0.547922
6.7,12,0.688396,0.923977,0.57874
6.71,12,0.681186,0.876166,0.57876
6.72,12,0.69348,0.854808,0.627019
6.73,12,0.684777,0.810604,0.624776
6.74,12,0.69569,0.793637,0.663332
6.75,12,0.686323,0.75878,0.665474
6.76,12,0.695689,0.761829,0.701618
6.77,12,0.685189,0.733685,0.700707
6.78,12,0.693619,0.74078,0.737188
6.79,12,0.680986,0.723135,0.718878
6.8,12,0.687951,0.740723,0.730502
6.81,12,0.676465,0.721954,0.697345
6.82,12,0.685557,0.739314,0.701967
6.83,12,0.679753,0.723799,0.663033
6.84,12,0.695734,0.742816,0.664858
6.85,12,0.692135,0.725327,0.6224
6.86,12,0.708303,0.745721,0.624196
6.87,12,0.703473,0.720776,0.59344
6.88,12,0.716953,0.727001,0.604948
6.89,12,0.711829,0.692268,0.566375
6.9,12,0.724862,0.687605,0.577417
6.91,12,0.719825,0.662618,0.551331
6.92,12,0.732817,0.675713,0.572175
6.93,12,0.724422,0.649539,0.556985
6.94,12,0.732887,0.664844,0.592336
6.95,12,0.723614,0.658226,0.579963
6.96,12,0.734076,0.694613,0.609863
6.97,12,0.724593,0.708608,0.59669
6.98,12,0.734144,0.757444,0.618997
6.99,12,0.728823,0.757795,0.596919
7,12,0.742762,0.790972,0.613544
7.01,12,0.738156,0.759285,0.576327
7.02,12,0.751291,0.754788,0.582575
7.03,12,0.740693,0.735291,0.560819
7.04,12,0.74729,0.755113,0.589581
7.05,12,0.731098,0.752466,0.568479
7.06,12,0.731996,0.785617,0.586964
7.07,12,0.720834,0.777946,0.572151
7.08,12,0.727694,0.803713,0.604519
7.09,12,0.719996,0.800719,0.595729
7.1,12,0.728924,0.830271,0.62761
7.11,12,0.717314,0.818993,0.59724
7.12,12,0.72311,0.838886,0.60769
7.13,12,0.711888,0.819378,0.578447
7.14,12,0.721346,0.83367,0.594267
7.15,12,0.713951,0.820257,0.576755
7.16,12,0.725875,0.846473,0.60836
7.17,12,0.717669,0.856396,0.600236
7.18,12,0.728596,0.903334,0.638047
7.19,12,0.722182,0.925502,0.616601
7.2,12,0.735557,0.975032,0.634498
7.21,12,0.730011,0.984334,0.613964
7.22,12,0.742611,1.01676,0.641702
7.23,12,0.735142,1.00082,0.614509
7.24,12,0.745898,1.01152,0.625304
7.25,12,0.738293,0.985027,0.614202
7.26,12,0.75037,0.98336,0.648109
7.27,12,0.747403,0.950913,0.636862
7.28,12,0.763602,0.945577,0.663706
7.29,12,0.761102,0.903458,0.647605
7.3,12,0.776844,0.890733,0.668154
7.31,12,0.769149,0.866708,0.659603
7.32,12,0.778211,0.877391,0.688554
7.33,12,0.766307,0.847616,0.676825
7.34,12,0.771246,0.851192,0.703106
7.35,12,0.757481,0.838094,0.68409
7.36,12,0.761309,0.858688,0.700532
7.37,12,0.748225,0.861596,0.703656
7.38,12,0.754124,0.896845,0.744701
7.39,12,0.744516,0.890498,0.745459
7.4,12,0.75471,0.911016,0.779219
7.41,12,0.748045,0.881666,0.762368
7.42,12,0.761313,0.878127,0.779366
7.43,12,0.757053,0.85532,0.753439
7.44,12,0.771171,0.862516,0.759295
7.45,12,0.766907,0.84093,0.730038
7.46,12,0.780217,0.848778,0.734391
7.47,12,0.779331,0.821285,0.681221
7.48,12,0.796295,0.831221,0.6626
7.49,12,0.79942,0.785331,0.624058
7.5,12,0.82007,0.775071,0.626067
7.51,12,0.8164,0.717888,0.600596
7.52,12,0.827737,0.705359,0.622409
7.53,12,0.819028,0.677169,0.617472
7.54,12,0.824969,0.694815,0.658754
7.55,12,0.813383,0.692796,0.665192
7.56,12,0.818356,0.727585,0.711423
7.57,12,0.803095,0.71231,0.710582
7.58,12,0.803359,0.731237,0.746511
7.59,12,0.784638,0.712693,0.753826
7.6,12,0.780879,0.727418,0.796971
7.61,12,0.761425,0.713635,0.810708
